country,bond_name,status,rows,start_date,end_date,history_path,request_log_path
norway,Norway 2Y,ok,3898,2000-01-03,2020-06-15,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/norway/norway_2y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/norway/norway_2y_request_log.csv
norway,Norway 3M,ok,5797,2000-01-03,2023-11-30,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/norway/norway_3m.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/norway/norway_3m_request_log.csv
norway,Norway 5Y,ok,6202,2000-01-03,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/norway/norway_5y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/norway/norway_5y_request_log.csv
norway,Norway 6M,ok,6352,2000-01-03,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/norway/norway_6m.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/norway/norway_6m_request_log.csv
norway,Norway 9M,ok,4242,2008-06-18,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/norway/norway_9m.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/norway/norway_9m_request_log.csv
philippines,Philippines 10Y,ok,6576,2000-06-14,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_10y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_10y_request_log.csv
philippines,Philippines 1M,ok,6184,2000-08-08,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_1m.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_1m_request_log.csv
philippines,Philippines 1Y,ok,107,2025-10-14,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_1y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_1y_request_log.csv
philippines,Philippines 20Y,ok,4350,2009-08-11,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_20y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_20y_request_log.csv
philippines,Philippines 25Y,ok,4985,2001-03-09,2020-09-09,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_25y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_25y_request_log.csv
philippines,Philippines 2Y,ok,6544,2000-06-14,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_2y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_2y_request_log.csv
philippines,Philippines 3M,ok,6566,2000-06-14,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_3m.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_3m_request_log.csv
philippines,Philippines 3Y,ok,6173,2002-03-01,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_3y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_3y_request_log.csv
philippines,Philippines 4Y,ok,6119,2002-05-21,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_4y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_4y_request_log.csv
philippines,Philippines 5Y,ok,6575,2000-06-14,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_5y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_5y_request_log.csv
philippines,Philippines 6M,ok,6583,2000-06-14,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_6m.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_6m_request_log.csv
philippines,Philippines 7Y,ok,6588,2000-06-14,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_7y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/philippines/philippines_7y_request_log.csv
south korea,South Korea 10Y,ok,6862,2000-10-26,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_10y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_10y_request_log.csv
south korea,South Korea 1Y,ok,6583,2000-01-04,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_1y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_1y_request_log.csv
south korea,South Korea 20Y,ok,5769,2006-01-26,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_20y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_20y_request_log.csv
south korea,South Korea 2Y,ok,7195,2000-01-04,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_2y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_2y_request_log.csv
south korea,South Korea 30Y,ok,4017,2012-09-12,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_30y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_30y_request_log.csv
south korea,South Korea 3Y,ok,7547,2000-01-04,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_3y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_3y_request_log.csv
south korea,South Korea 4Y,ok,6734,2000-01-04,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_4y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_4y_request_log.csv
south korea,South Korea 50Y,ok,2978,2016-10-12,2026-03-09,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_50y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_50y_request_log.csv
