Date,Open,High,Low,Close,Adj Close,Volume,country,bond_name
2000-01-03,9.97,9.97,9.97,9.97,9.97,,india,India 1Y
2000-01-04,10.051,10.051,10.051,10.051,10.051,,india,India 1Y
2000-01-05,10.189,10.189,10.189,10.189,10.189,,india,India 1Y
2000-01-06,10.185,10.185,10.185,10.185,10.185,,india,India 1Y
2000-01-07,10.209,10.209,10.209,10.209,10.209,,india,India 1Y
2000-01-10,10.167,10.167,10.167,10.167,10.167,,india,India 1Y
2000-01-11,10.163,10.163,10.163,10.163,10.163,,india,India 1Y
2000-01-12,10.188,10.188,10.188,10.188,10.188,,india,India 1Y
2000-01-13,10.139,10.139,10.139,10.139,10.139,,india,India 1Y
2000-01-14,10.135,10.135,10.135,10.135,10.135,,india,India 1Y
2000-01-17,9.912,9.912,9.912,9.912,9.912,,india,India 1Y
2000-01-18,9.951,9.951,9.951,9.951,9.951,,india,India 1Y
2000-01-19,9.946,9.946,9.946,9.946,9.946,,india,India 1Y
2000-01-20,9.926,9.926,9.926,9.926,9.926,,india,India 1Y
2000-01-21,9.996,9.996,9.996,9.996,9.996,,india,India 1Y
2000-01-24,9.981,9.981,9.981,9.981,9.981,,india,India 1Y
2000-01-25,9.991,9.991,9.991,9.991,9.991,,india,India 1Y
2000-01-27,9.98,9.98,9.98,9.98,9.98,,india,India 1Y
2000-01-28,9.991,9.991,9.991,9.991,9.991,,india,India 1Y
2000-02-01,9.943,9.943,9.943,9.943,9.943,,india,India 1Y
2000-02-02,9.906,9.906,9.906,9.906,9.906,,india,India 1Y
2000-02-03,9.869,9.869,9.869,9.869,9.869,,india,India 1Y
2000-02-04,9.687,9.687,9.687,9.687,9.687,,india,India 1Y
2000-02-07,9.474,9.474,9.474,9.474,9.474,,india,India 1Y
2000-02-08,9.548,9.548,9.548,9.548,9.548,,india,India 1Y
2000-02-09,11.181,11.181,11.181,11.181,11.181,,india,India 1Y
2000-02-10,9.631,9.631,9.631,9.631,9.631,,india,India 1Y
2000-02-11,9.723,9.723,9.723,9.723,9.723,,india,India 1Y
2000-02-14,9.305,9.305,9.305,9.305,9.305,,india,India 1Y
2000-02-15,9.914,9.914,9.914,9.914,9.914,,india,India 1Y
2000-02-16,10.162,10.162,10.162,10.162,10.162,,india,India 1Y
2000-02-17,9.903,9.903,9.903,9.903,9.903,,india,India 1Y
2000-02-18,9.812,9.812,9.812,9.812,9.812,,india,India 1Y
2000-02-22,9.615,9.615,9.615,9.615,9.615,,india,India 1Y
2000-02-23,9.746,9.746,9.746,9.746,9.746,,india,India 1Y
2000-02-24,9.705,9.705,9.705,9.705,9.705,,india,India 1Y
2000-02-25,9.768,9.768,9.768,9.768,9.768,,india,India 1Y
2000-02-28,9.642,9.642,9.642,9.642,9.642,,india,India 1Y
2000-02-29,9.702,9.702,9.702,9.702,9.702,,india,India 1Y
2000-03-01,9.728,9.728,9.728,9.728,9.728,,india,India 1Y
2000-03-02,9.902,9.902,9.902,9.902,9.902,,india,India 1Y
2000-03-03,9.896,9.896,9.896,9.896,9.896,,india,India 1Y
2000-03-06,9.878,9.878,9.878,9.878,9.878,,india,India 1Y
2000-03-07,9.965,9.965,9.965,9.965,9.965,,india,India 1Y
2000-03-08,9.884,9.884,9.884,9.884,9.884,,india,India 1Y
2000-03-09,6.198,6.198,6.198,6.198,6.198,,india,India 1Y
2000-03-10,9.759,9.759,9.759,9.759,9.759,,india,India 1Y
2000-03-13,9.929,9.929,9.929,9.929,9.929,,india,India 1Y
2000-03-14,10.019,10.019,10.019,10.019,10.019,,india,India 1Y
2000-03-15,9.975,9.975,9.975,9.975,9.975,,india,India 1Y
2000-03-16,10.002,10.002,10.002,10.002,10.002,,india,India 1Y
2000-03-21,9.979,9.979,9.979,9.979,9.979,,india,India 1Y
2000-03-23,10.27,10.27,10.27,10.27,10.27,,india,India 1Y
2000-03-24,10.103,10.103,10.103,10.103,10.103,,india,India 1Y
