country,bond_name,year,status,rows,from_date,to_date
canada,Canada 20Y,2000,ok,251,01/01/2000,31/12/2000
canada,Canada 20Y,2001,ok,251,01/01/2001,31/12/2001
canada,Canada 20Y,2002,ok,252,01/01/2002,31/12/2002
canada,Canada 20Y,2003,ok,253,01/01/2003,31/12/2003
canada,Canada 20Y,2004,ok,256,01/01/2004,31/12/2004
canada,Canada 20Y,2005,ok,251,01/01/2005,31/12/2005
canada,Canada 20Y,2006,ok,251,01/01/2006,31/12/2006
canada,Canada 20Y,2007,ok,251,01/01/2007,31/12/2007
canada,Canada 20Y,2008,ok,251,01/01/2008,31/12/2008
canada,Canada 20Y,2009,ok,250,01/01/2009,31/12/2009
canada,Canada 20Y,2010,ok,280,01/01/2010,31/12/2010
canada,Canada 20Y,2011,ok,249,01/01/2011,31/12/2011
canada,Canada 20Y,2012,ok,304,01/01/2012,31/12/2012
canada,Canada 20Y,2013,ok,297,01/01/2013,31/12/2013
canada,Canada 20Y,2014,ok,282,01/01/2014,31/12/2014
canada,Canada 20Y,2015,ok,301,01/01/2015,31/12/2015
canada,Canada 20Y,2016,ok,285,01/01/2016,31/12/2016
canada,Canada 20Y,2017,ok,289,01/01/2017,31/12/2017
canada,Canada 20Y,2018,ok,287,01/01/2018,31/12/2018
canada,Canada 20Y,2019,ok,303,01/01/2019,31/12/2019
canada,Canada 20Y,2020,ok,289,01/01/2020,31/12/2020
canada,Canada 20Y,2021,ok,271,01/01/2021,31/12/2021
canada,Canada 20Y,2022,ok,254,01/01/2022,31/12/2022
canada,Canada 20Y,2023,ok,248,01/01/2023,31/12/2023
canada,Canada 20Y,2024,ok,249,01/01/2024,31/12/2024
canada,Canada 20Y,2025,ok,249,01/01/2025,31/12/2025
canada,Canada 20Y,2026,ok,45,01/01/2026,08/03/2026
